slide,start,end,duration,timestamp,voiceover
21,77.9,85.8,7.9,01:17.90,Dogs are not a separate species that existed naturally in the wild. They are biologically speaking a domesticated subspecies of the gray wolf. Canis lupus familiaris.
22,85.8,94.933,9.133,01:25.80,Canis lupus familiaris. Every single dog that has ever existed from the terrifying German Shepherd to the embarrassingly small Chihuahua is descended from wolves.
23,94.933,102.1,7.167,01:34.93,Every single dog that has ever existed from the terrifying German Shepherd to the embarrassingly small Chihuahua is descended from wolves. Which means at some point wolves and humans had a conversation that went very very differently than it should have.
24,102.1,104.667,2.567,01:42.10,Which means at some point wolves and humans had a conversation that went very very differently than it should have. But when exactly did this happen?
25,104.667,110.533,5.866,01:44.67,But when exactly did this happen? Scientists have been fighting about this for decades and honestly they're still fighting.
26,110.533,117.233,6.7,01:50.53,"Scientists have been fighting about this for decades and honestly they're still fighting. The current best estimate puts the domestication of dogs somewhere between 15,000 and 40,000 years ago."
27,117.233,121.733,4.5,01:57.23,"The current best estimate puts the domestication of dogs somewhere between 15,000 and 40,000 years ago. That's a huge range. And the reason it's so wide is because the archaeological record is messy."
28,121.733,124.067,2.334,02:01.73,And the reason it's so wide is because the archaeological record is messy.
29,124.067,127.367,3.3,02:04.07,DNA doesn't lie but it does get confusing and ancient bones don't come with timestamps.
30,127.367,130.0,2.633,02:07.37,DNA doesn't lie but it does get confusing and ancient bones don't come with timestamps.
31,130.0,134.733,4.733,02:10.00,DNA doesn't lie but it does get confusing and ancient bones don't come with timestamps. What we do know is this. Dogs were the first domesticated animal.
32,134.733,139.433,4.7,02:14.73,Dogs were the first domesticated animal. Not cows not horses not goats. Dogs.
33,139.433,141.467,2.034,02:19.43,Dogs. By a massive margin.
34,141.467,145.0,3.533,02:21.47,"By a massive margin. Horses weren't domesticated until about 6,000 years ago."
35,145.0,150.467,5.467,02:25.00,"Horses weren't domesticated until about 6,000 years ago. Dogs were already man's best friend when humans were still thousands of years away from inventing farming."
36,150.467,153.133,2.666,02:30.47,Dogs were already man's best friend when humans were still thousands of years away from inventing farming. This wasn't a planned agricultural decision.
37,153.133,155.6,2.467,02:33.13,This was something that happened deep in the Stone Age probably multiple times in multiple places before humans had even figured out how bread worked.
38,155.6,158.867,3.267,02:35.60,This was something that happened deep in the Stone Age probably multiple times in multiple places before humans had even figured out how bread worked.
39,158.867,161.867,3.0,02:38.87,This was something that happened deep in the Stone Age probably multiple times in multiple places before humans had even figured out how bread worked.
40,161.867,165.533,3.666,02:41.87,Which raises the obvious question. How?
41,165.533,172.567,7.034,02:45.53,How? Here's where it gets really interesting and where the old romantic idea of dog domestication completely falls apart.
42,172.567,178.633,6.066,02:52.57,Here's where it gets really interesting and where the old romantic idea of dog domestication completely falls apart. The classic story goes like this. A brave prehistoric human finds a litter of wolf pups.
43,178.633,182.267,3.634,02:58.63,He takes them home. He raises them. He trains them.
44,182.267,184.7,2.433,03:02.27,He creates loyal hunting companions.
45,184.7,186.733,2.033,03:04.70,He creates loyal hunting companions. Beautiful heartwarming completely not how it happened.
46,186.733,188.7,1.967,03:06.73,Beautiful heartwarming completely not how it happened.
47,188.7,191.7,3.0,03:08.70,Beautiful heartwarming completely not how it happened. Because here's what nobody tells you about wolves.
48,191.7,194.433,2.733,03:11.70,They are not domesticable as adults.
49,194.433,199.067,4.634,03:14.43,They are not domesticable as adults. You can raise a wolf pup from birth give it love and food and a warm place to sleep and it will still be fundamentally biologically a wolf.
50,199.067,202.067,3.0,03:19.07,You can raise a wolf pup from birth give it love and food and a warm place to sleep and it will still be fundamentally biologically a wolf.
51,202.067,205.3,3.233,03:22.07,It will still have wolf instincts. It will still be dangerous.
52,205.3,211.867,6.567,03:25.30,It will still want to do wolf things. Zoos have known this for centuries. Wildlife sanctuaries know this.
53,211.867,218.433,6.566,03:31.87,Wildlife sanctuaries know this. The idea that some ancient human just decided to tame wolves through sheer force of will is the kind of thinking that gets people bitten.
54,218.433,223.233,4.8,03:38.43,So if humans didn't intentionally domesticate wolves what actually happened?
55,223.233,232.0,8.767,03:43.23,The leading theory right now the one that has the most scientific support and also happens to make the most sense is that wolves domesticated themselves.
56,232.0,233.833,1.833,03:52.00,The leading theory right now the one that has the most scientific support and also happens to make the most sense is that wolves domesticated themselves. Read that again.
57,233.833,235.433,1.6,03:53.83,The wolves chose this.
58,235.433,237.6,2.167,03:55.43,The wolves chose this. Sort of.
59,237.6,238.967,1.367,03:57.60,Sort of. Here's how it worked.
60,238.967,240.8,1.833,03:58.97,As humans became better at hunting they started generating something that no other predator in the ecosystem was producing at scale.
61,240.8,245.3,4.5,04:00.80,As humans became better at hunting they started generating something that no other predator in the ecosystem was producing at scale.
62,245.3,247.867,2.567,04:05.30,As humans became better at hunting they started generating something that no other predator in the ecosystem was producing at scale. Consistent reliable garbage.
63,247.867,252.733,4.866,04:07.87,Consistent reliable garbage. Leftover bones discarded scraps animal parts they didn't eat.
64,252.733,255.333,2.6,04:12.73,Leftover bones discarded scraps animal parts they didn't eat. And when you're an opportunistic scavenger like a wolf that is basically the equivalent of a Michelin star restaurant opening up in your neighborhood.
65,255.333,260.4,5.067,04:15.33,And when you're an opportunistic scavenger like a wolf that is basically the equivalent of a Michelin star restaurant opening up in your neighborhood.
66,260.4,267.533,7.133,04:20.40,And when you're an opportunistic scavenger like a wolf that is basically the equivalent of a Michelin star restaurant opening up in your neighborhood. So some wolves not all wolves just some of them started hanging around human camps staying close waiting for scraps.
67,267.533,270.767,3.234,04:27.53,So some wolves not all wolves just some of them started hanging around human camps staying close waiting for scraps.
68,270.767,274.233,3.466,04:30.77,So some wolves not all wolves just some of them started hanging around human camps staying close waiting for scraps. And the key thing here is which wolves were doing this.
69,274.233,277.133,2.9,04:34.23,It wasn't the big dominant aggressive ones.
70,277.133,280.133,3.0,04:37.13,Those wolves wanted nothing to do with humans.
71,280.133,285.567,5.434,04:40.13,Those wolves wanted nothing to do with humans. The wolves that started edging closer to the fires were the ones that were slightly less afraid slightly more curious slightly calmer around the terrifying fire-wielding spear-throwing creatures that were apparently just going to throw bones at them anyway.
72,285.567,287.6,2.033,04:45.57,The wolves that started edging closer to the fires were the ones that were slightly less afraid slightly more curious slightly calmer around the terrifying fire-wielding spear-throwing creatures that were apparently just going to throw bones at them anyway.
73,287.6,292.567,4.967,04:47.60,The wolves that started edging closer to the fires were the ones that were slightly less afraid slightly more curious slightly calmer around the terrifying fire-wielding spear-throwing creatures that were apparently just going to throw bones at them anyway.
74,292.567,295.567,3.0,04:52.57,The wolves that started edging closer to the fires were the ones that were slightly less afraid slightly more curious slightly calmer around the terrifying fire-wielding spear-throwing creatures that were apparently just going to throw bones at them anyway.
75,295.567,297.6,2.033,04:55.57,And those wolves got fed.
76,297.6,300.1,2.5,04:57.60,And those wolves got fed. And the more aggressive ones who kept their distance had a harder time finding food and had fewer offspring.
77,300.1,302.367,2.267,05:00.10,And the more aggressive ones who kept their distance had a harder time finding food and had fewer offspring.
78,302.367,305.033,2.666,05:02.37,And the more aggressive ones who kept their distance had a harder time finding food and had fewer offspring.
79,305.033,308.733,3.7,05:05.03,And the more aggressive ones who kept their distance had a harder time finding food and had fewer offspring. Over generations many many generations this created a pressure that nobody planned for and nobody engineered.
80,308.733,314.2,5.467,05:08.73,Over generations many many generations this created a pressure that nobody planned for and nobody engineered.
81,314.2,320.867,6.667,05:14.20,Over generations many many generations this created a pressure that nobody planned for and nobody engineered. The wolves closest to human camps were by definition the ones with the lowest stress response around humans the calmest the friendliest the most likely to approach instead of flee.
82,320.867,324.0,3.133,05:20.87,The wolves closest to human camps were by definition the ones with the lowest stress response around humans the calmest the friendliest the most likely to approach instead of flee.
83,324.0,326.567,2.567,05:24.00,The wolves closest to human camps were by definition the ones with the lowest stress response around humans the calmest the friendliest the most likely to approach instead of flee.
84,326.567,329.267,2.7,05:26.57,The wolves closest to human camps were by definition the ones with the lowest stress response around humans the calmest the friendliest the most likely to approach instead of flee. And their puppies inherited those tendencies.
85,329.267,331.2,1.933,05:29.27,And their puppies inherited those tendencies. And their puppies did too.
86,331.2,335.233,4.033,05:31.20,And their puppies did too. Natural selection operating entirely without human intention started nudging wolf behavior in a very specific direction toward us.
87,335.233,338.867,3.634,05:35.23,Natural selection operating entirely without human intention started nudging wolf behavior in a very specific direction toward us.
88,338.867,340.867,2.0,05:38.87,Natural selection operating entirely without human intention started nudging wolf behavior in a very specific direction toward us.
89,340.867,344.233,3.366,05:40.87,Natural selection operating entirely without human intention started nudging wolf behavior in a very specific direction toward us. Now here's where something genuinely bizarre happens.
90,344.233,355.5,11.267,05:44.23,Now here's where something genuinely bizarre happens. Something that scientists didn't fully understand until a Russian geneticist named Dmitri Belyaev ran what might be the most fascinating and underrated experiment of the 20 th century.
91,355.5,359.3,3.8,05:55.50,Something that scientists didn't fully understand until a Russian geneticist named Dmitri Belyaev ran what might be the most fascinating and underrated experiment of the 20 th century. In the 1950 s Belyaev was working in Soviet Russia which means he was doing science under conditions that could generously be described as stressful.
92,359.3,364.833,5.533,05:59.30,In the 1950 s Belyaev was working in Soviet Russia which means he was doing science under conditions that could generously be described as stressful.
93,364.833,373.6,8.767,06:04.83,In the 1950 s Belyaev was working in Soviet Russia which means he was doing science under conditions that could generously be described as stressful. Genetics was considered a bourgeois pseudoscience by Soviet authorities at the time which is a sentence that requires a moment to fully absorb.
94,373.6,381.767,8.167,06:13.60,Genetics was considered a bourgeois pseudoscience by Soviet authorities at the time which is a sentence that requires a moment to fully absorb. But Belyaev who was genuinely brilliant found a way to keep doing his research under the cover of studying fox breeding for the fur industry.
95,381.767,386.767,5.0,06:21.77,But Belyaev who was genuinely brilliant found a way to keep doing his research under the cover of studying fox breeding for the fur industry. What he actually did was start selectively breeding silver foxes and the only trait he selected for the only one was tameness.
96,386.767,392.3,5.533,06:26.77,What he actually did was start selectively breeding silver foxes and the only trait he selected for the only one was tameness.
97,392.3,396.767,4.467,06:32.30,What he actually did was start selectively breeding silver foxes and the only trait he selected for the only one was tameness. Every generation he tested all the foxes for how they responded to humans and only bred the ones that showed the least fear and aggression.
98,396.767,400.5,3.733,06:36.77,Every generation he tested all the foxes for how they responded to humans and only bred the ones that showed the least fear and aggression.
99,400.5,403.5,3.0,06:40.50,Every generation he tested all the foxes for how they responded to humans and only bred the ones that showed the least fear and aggression. That's it. No other selection criteria.
100,403.5,406.5,3.0,06:43.50,No other selection criteria. What happened next was extraordinary.
101,406.5,414.833,8.333,06:46.50,What happened next was extraordinary. Within just a few generations we're talking decades not millennia something very strange started happening to the foxes.
102,414.833,416.6,1.767,06:54.83,They didn't just become friendlier they started changing physically.
103,416.6,418.167,1.567,06:56.60,They didn't just become friendlier they started changing physically.
104,418.167,425.167,7.0,06:58.17,They didn't just become friendlier they started changing physically. Their ears became floppy. Their tails started to curl. Their coats developed patches of white and brown instead of solid silver.
105,425.167,430.8,5.633,07:05.17,Their faces got rounder. Their skulls changed shape. Their reproductive cycles shifted.
106,430.8,438.133,7.333,07:10.80,Their reproductive cycles shifted. They started barking differently. They started seeking human attention and making eye contact. They started acting like dogs.
107,438.133,444.0,5.867,07:18.13,They started acting like dogs. Nobody told them to do this. Belyaev hadn't selected for any of these physical traits.
108,444.0,460.633,16.633,07:24.00,He'd only selected for tameness. But somehow selecting for one behavioral trait had unlocked a cascade of physical and behavioral changes that transformed the foxes into something that looked and acted weirdly uncannily familiar.
109,460.633,480.433,19.8,07:40.63,But somehow selecting for one behavioral trait had unlocked a cascade of physical and behavioral changes that transformed the foxes into something that looked and acted weirdly uncannily familiar. What Belyaev had stumbled onto and what scientists are still working out the full details of today is something called domestication syndrome. The idea that certain genetic pathways for tameness and low stress response are linked on a deep biological level to a whole suite of other physical and developmental traits.
110,480.433,489.267,8.834,08:00.43,The idea that certain genetic pathways for tameness and low stress response are linked on a deep biological level to a whole suite of other physical and developmental traits. When you breed for friendliness you get floppy ears as a bonus. When you select for calm behavior you get spotted coats you didn't ask for.
111,489.267,494.267,5.0,08:09.27,When you select for calm behavior you get spotted coats you didn't ask for. The package deal of domestication is weirder and more complex than anyone expected.
112,494.267,498.567,4.3,08:14.27,The package deal of domestication is weirder and more complex than anyone expected. And crucially this experiment showed that it doesn't take thousands of years.
113,498.567,514.667,16.1,08:18.57,And crucially this experiment showed that it doesn't take thousands of years. With strong selection pressure the fundamental character of a species can shift dramatically in just a handful of generations. Which means the wolves hanging around ancient human camps might have started showing dog-like traits faster than anyone previously thought.
114,514.667,522.267,7.6,08:34.67,Which means the wolves hanging around ancient human camps might have started showing dog-like traits faster than anyone previously thought. But here's the question nobody seems to ask loudly enough. What did the humans do when the wolves started getting friendlier?
115,522.267,530.867,8.6,08:42.27,What did the humans do when the wolves started getting friendlier? Because this is a two-way street. The wolves changed yes. But human behavior had to change too.
116,530.867,536.767,5.9,08:50.87,But human behavior had to change too. At some point some ancient person had to not throw their spear at the wolf sitting near the fire.
117,536.767,545.333,8.566,08:56.77,At some point some ancient person had to not throw their spear at the wolf sitting near the fire. They had to decide consciously or not that this creature was tolerable. Maybe useful. Maybe something else entirely.
118,545.333,549.2,3.867,09:05.33,Maybe something else entirely. And the evidence suggests this happened differently in different places.
119,549.2,562.7,13.5,09:09.20,And the evidence suggests this happened differently in different places. There's strong genetic evidence that dogs were domesticated more than once in more than one location. East Asia the Middle East and possibly Europe all have genetic signatures suggesting independent domestication events.
120,562.7,569.967,7.267,09:22.70,Which means the meeting between wolves and humans wasn't a single magical moment. It was a pattern a repeated tendency for these two species to find each other useful.
121,569.967,573.733,3.766,09:29.97,It was a pattern a repeated tendency for these two species to find each other useful.
122,573.733,579.1,5.367,09:33.73,It was a pattern a repeated tendency for these two species to find each other useful. And once humans figured out that a semi-tamed wolf could actually be incredibly useful warning them when other predators approached helping track prey acting as a living alarm system.
123,579.1,585.133,6.033,09:39.10,And once humans figured out that a semi-tamed wolf could actually be incredibly useful warning them when other predators approached helping track prey acting as a living alarm system.
124,585.133,587.6,2.467,09:45.13,And once humans figured out that a semi-tamed wolf could actually be incredibly useful warning them when other predators approached helping track prey acting as a living alarm system. The relationship accelerated.
125,587.6,595.767,8.167,09:47.60,The relationship accelerated. Now there was active pressure from the human side to keep the friendly ones. To feed them more. To let them sleep inside.
126,595.767,601.5,5.733,09:55.77,To let them sleep inside. To in some small way begin actively selecting for the traits they preferred.
127,601.5,610.433,8.933,10:01.50,To in some small way begin actively selecting for the traits they preferred. The wolves that liked humans survived better in human company. The humans that kept wolves survived better in the wilderness.
128,610.433,618.7,8.267,10:10.43,The humans that kept wolves survived better in the wilderness. A co-evolutionary partnership formed. Not because anyone planned it but because it worked spectacularly for both sides.
129,618.7,622.333,3.633,10:18.70,Now let's talk about what domestication actually does to a brain.
130,622.333,625.867,3.534,10:22.33,Now let's talk about what domestication actually does to a brain. Because dogs are not just wolves that learned to be polite.
131,625.867,630.767,4.9,10:25.87,They are cognitively different from wolves in ways that are genuinely remarkable.
132,630.767,634.933,4.166,10:30.77,They are cognitively different from wolves in ways that are genuinely remarkable. One of the most striking differences is how dogs interact with human gestures.
133,634.933,639.333,4.4,10:34.93,One of the most striking differences is how dogs interact with human gestures. If you point at something a dog will look where you're pointing. A wolf won't.
134,639.333,646.133,6.8,10:39.33,A wolf won't. Even wolf pups raised by humans from birth socialized intensively won't reliably follow a pointing gesture.
135,646.133,652.733,6.6,10:46.13,Even wolf pups raised by humans from birth socialized intensively won't reliably follow a pointing gesture. But a domestic dog puppy even one that has had minimal human contact will look where you point.
136,652.733,655.733,3.0,10:52.73,But a domestic dog puppy even one that has had minimal human contact will look where you point. This is not a learned behavior. It's genetic.
137,655.733,663.467,7.734,10:55.73,It's genetic. Dogs have been shaped over thousands of generations to read human communicative cues in a way that no other animal can match.
138,663.467,668.733,5.266,11:03.47,Dogs have been shaped over thousands of generations to read human communicative cues in a way that no other animal can match. Dogs make eye contact with humans in a way that their wolf ancestors never would.
139,668.733,675.267,6.534,11:08.73,Dogs make eye contact with humans in a way that their wolf ancestors never would. In wolf society direct eye contact is a dominance challenge. It means a fight is coming.
140,675.267,682.733,7.466,11:15.27,It means a fight is coming. But dogs evolved to hold your gaze to look to you for information to treat human faces as sources of meaning.
141,682.733,689.7,6.967,11:22.73,But dogs evolved to hold your gaze to look to you for information to treat human faces as sources of meaning. And when a dog looks into your eyes both your brains release oxytocin the bonding hormone the same hormone released between a mother and her infant.
142,689.7,692.7,3.0,11:29.70,And when a dog looks into your eyes both your brains release oxytocin the bonding hormone the same hormone released between a mother and her infant.
143,692.7,698.433,5.733,11:32.70,You are literally chemically bonding with your dog when you make eye contact with them and they are bonding with you.
144,698.433,706.967,8.534,11:38.43,You are literally chemically bonding with your dog when you make eye contact with them and they are bonding with you. In one of evolution's stranger plot twists a carnivore that should by all rights want to eat us has been biologically rewired to love us.
145,706.967,713.733,6.766,11:46.97,In one of evolution's stranger plot twists a carnivore that should by all rights want to eat us has been biologically rewired to love us. Dogs also have a unique muscle a tiny facial muscle above their eyebrows that wolves don't have.
146,713.733,717.5,3.767,11:53.73,Dogs also have a unique muscle a tiny facial muscle above their eyebrows that wolves don't have. It's called the levator anguli oculi medialis.
147,717.5,723.033,5.533,11:57.50,It's called the levator anguli oculi medialis. When a dog uses it it makes their face look sad soft and unbearably cute puppyish.
148,723.033,727.933,4.9,12:03.03,When a dog uses it it makes their face look sad soft and unbearably cute puppyish. It's the muscle responsible for the puppy dog eyes expression and it appears to have been directly selected for over thousands of years of domestication because it works on humans.
149,727.933,734.033,6.1,12:07.93,It's the muscle responsible for the puppy dog eyes expression and it appears to have been directly selected for over thousands of years of domestication because it works on humans.
150,734.033,739.433,5.4,12:14.03,It's the muscle responsible for the puppy dog eyes expression and it appears to have been directly selected for over thousands of years of domestication because it works on humans. It makes us want to take care of them. It makes us feel responsible for their well-being.
151,739.433,748.1,8.667,12:19.43,It makes us feel responsible for their well-being. The dog unknowingly evolved a biological hack for manipulating human emotions and it is spectacularly effective.
152,748.1,750.633,2.533,12:28.10,The dog unknowingly evolved a biological hack for manipulating human emotions and it is spectacularly effective. You thought you were choosing your dog.
153,750.633,756.033,5.4,12:30.63,"You thought you were choosing your dog. Your dog's ancestors spent 10,000 years evolving to make you want to choose them."
154,756.033,766.567,10.534,12:36.03,"Your dog's ancestors spent 10,000 years evolving to make you want to choose them. By around 10,000 years ago when humans were just starting to figure out agriculture and settle into permanent villages dogs were already deeply embedded in human society."
155,766.567,770.567,4.0,12:46.57,"By around 10,000 years ago when humans were just starting to figure out agriculture and settle into permanent villages dogs were already deeply embedded in human society. We know this because dogs start appearing in burials from this period."
156,770.567,778.3,7.733,12:50.57,We know this because dogs start appearing in burials from this period. Human graves containing human bones also contain dog bones not as food as companions.
157,778.3,787.667,9.367,12:58.30,Human graves containing human bones also contain dog bones not as food as companions. Some of the oldest confirmed human-dog burials have the dog arranged carefully beside the human sometimes with a human hand resting on the animal's body.
158,787.667,793.0,5.333,13:07.67,These were people who had lived alongside dogs and wanted them present in death as in life.
159,793.0,794.9,1.9,13:13.00,These were people who had lived alongside dogs and wanted them present in death as in life. Think about what that means for a moment.
160,794.9,799.8,4.9,13:14.90,Think about what that means for a moment. The very first domestic relationship in human history was one of genuine companionship not purely utility not just a working animal something that crossed the line into what we might actually recognize as love.
161,799.8,803.4,3.6,13:19.80,The very first domestic relationship in human history was one of genuine companionship not purely utility not just a working animal something that crossed the line into what we might actually recognize as love.
162,803.4,807.567,4.167,13:23.40,The very first domestic relationship in human history was one of genuine companionship not purely utility not just a working animal something that crossed the line into what we might actually recognize as love.
163,807.567,815.833,8.266,13:27.57,The very first domestic relationship in human history was one of genuine companionship not purely utility not just a working animal something that crossed the line into what we might actually recognize as love. In a world of constant physical hardship brutal survival conditions and a life expectancy that makes a modern person's eyes water humans were spending emotional energy on their dogs grieving them burying them with ceremony.
164,815.833,823.033,7.2,13:35.83,In a world of constant physical hardship brutal survival conditions and a life expectancy that makes a modern person's eyes water humans were spending emotional energy on their dogs grieving them burying them with ceremony.
165,823.033,828.467,5.434,13:43.03,In a world of constant physical hardship brutal survival conditions and a life expectancy that makes a modern person's eyes water humans were spending emotional energy on their dogs grieving them burying them with ceremony. This is one of the oldest impulses we have evidence of and it's still going on.
166,828.467,835.0,6.533,13:48.47,This is one of the oldest impulses we have evidence of and it's still going on. Right now somewhere someone is spending money they probably shouldn't on a ridiculous tiny coat for their ridiculous tiny dog and feeling completely fine about it.
167,835.0,837.4,2.4,13:55.00,Right now somewhere someone is spending money they probably shouldn't on a ridiculous tiny coat for their ridiculous tiny dog and feeling completely fine about it.
168,837.4,841.367,3.967,13:57.40,"The emotional logic has not changed in 15,000 years."
169,841.367,843.033,1.666,14:01.37,"The emotional logic has not changed in 15,000 years. So what came next? Because wolf learns to tolerate humans gets fed scraps becomes slightly less wolfy is only the beginning of the story."
170,843.033,851.5,8.467,14:03.03,Because wolf learns to tolerate humans gets fed scraps becomes slightly less wolfy is only the beginning of the story.
171,851.5,856.467,4.967,14:11.50,Because wolf learns to tolerate humans gets fed scraps becomes slightly less wolfy is only the beginning of the story. What follows is one of the most dramatic transformations in the history of life on Earth.
172,856.467,860.567,4.1,14:16.47,What follows is one of the most dramatic transformations in the history of life on Earth. After that initial domestication humans took the wheel.
173,860.567,870.933,10.366,14:20.57,After that initial domestication humans took the wheel. The natural pressure that had started the process select for tameness get dogs was replaced by something much more directed human intentional breeding.
174,870.933,874.933,4.0,14:30.93,The natural pressure that had started the process select for tameness get dogs was replaced by something much more directed human intentional breeding. And humans turned out to be absolutely wild about variety.
175,874.933,879.833,4.9,14:34.93,And humans turned out to be absolutely wild about variety. Over the next several thousand years humans bred dogs for specific jobs hunting dogs herding dogs guard dogs sled dogs war dogs lap dogs for aristocrats who apparently had a lot of time on their hands.
176,879.833,884.833,5.0,14:39.83,Over the next several thousand years humans bred dogs for specific jobs hunting dogs herding dogs guard dogs sled dogs war dogs lap dogs for aristocrats who apparently had a lot of time on their hands.
177,884.833,890.1,5.267,14:44.83,Over the next several thousand years humans bred dogs for specific jobs hunting dogs herding dogs guard dogs sled dogs war dogs lap dogs for aristocrats who apparently had a lot of time on their hands.
178,890.1,894.667,4.567,14:50.10,Different sizes different shapes different temperaments different instincts.
179,894.667,904.2,9.533,14:54.67,The genetic variation locked inside the dog genome was exploited to produce a range of body types and behavioral profiles unlike anything else in the animal kingdom.
180,904.2,907.333,3.133,15:04.20,The genetic variation locked inside the dog genome was exploited to produce a range of body types and behavioral profiles unlike anything else in the animal kingdom. The speed of this diversification is astonishing.
181,907.333,916.933,9.6,15:07.33,"The speed of this diversification is astonishing. In roughly 15,000 years which is basically nothing in evolutionary time humans produced everything from the Great Dane to the dachshund."
182,916.933,927.7,10.767,15:16.93,"In roughly 15,000 years which is basically nothing in evolutionary time humans produced everything from the Great Dane to the dachshund. From the greyhound built for pure speed to the bulldog which is shaped like a very sad loaf of bread and somehow still finds the energy to be a personality."
183,927.7,939.6,11.9,15:27.70,From the greyhound built for pure speed to the bulldog which is shaped like a very sad loaf of bread and somehow still finds the energy to be a personality. The wolf body plan sleek and functional and honed by millions of years of natural selection was essentially taken apart and reassembled into hundreds of different configurations each one reflecting a specific human need preference or at some point apparently just a whim.
184,939.6,946.8,7.2,15:39.60,The wolf body plan sleek and functional and honed by millions of years of natural selection was essentially taken apart and reassembled into hundreds of different configurations each one reflecting a specific human need preference or at some point apparently just a whim.
185,946.8,950.433,3.633,15:46.80,The wolf body plan sleek and functional and honed by millions of years of natural selection was essentially taken apart and reassembled into hundreds of different configurations each one reflecting a specific human need preference or at some point apparently just a whim. Modern dog breeds as we know them are actually very recent.
186,950.433,966.433,16.0,15:50.43,Modern dog breeds as we know them are actually very recent. Most of the breeds that exist today were formally defined in the 19 th century during a period of intense interest in controlled breeding that produced what were called breed standards. Precise specifications for how a dog of a given breed should look and act.
187,966.433,973.633,7.2,16:06.43,Precise specifications for how a dog of a given breed should look and act. This is when dog breeding went from I want a dog that's good at hunting to something considerably more baroque.
188,973.633,981.3,7.667,16:13.63,"This is when dog breeding went from I want a dog that's good at hunting to something considerably more baroque. The Victorian era took the 10,000 year project of dog domestication and turned it into a competitive sport."
189,981.3,988.467,7.167,16:21.30,"The Victorian era took the 10,000 year project of dog domestication and turned it into a competitive sport. Which brings us inevitably to the modern moment and to the strange relationship we have now with these animals."
190,988.467,994.533,6.066,16:28.47,Which brings us inevitably to the modern moment and to the strange relationship we have now with these animals. Because dogs today occupy a position in human society that no other animal comes close to.
191,994.533,998.3,3.767,16:34.53,Because dogs today occupy a position in human society that no other animal comes close to. They live inside our homes. They sleep in our beds.
192,998.3,1000.733,2.433,16:38.30,They sleep in our beds. They appear in our wills.
193,1000.733,1007.167,6.434,16:40.73,They appear in our wills. There are dogs with their own Instagram accounts their own merchandise lines their own birthday parties.
194,1007.167,1013.0,5.833,16:47.17,There are dogs with their own Instagram accounts their own merchandise lines their own birthday parties. There is a dog currently somewhere in the world with a better quality of life than most humans in recorded history and it doesn't know this and it doesn't care because it just found a sock on the floor and the sock is incredibly interesting.
195,1013.0,1019.333,6.333,16:53.00,There is a dog currently somewhere in the world with a better quality of life than most humans in recorded history and it doesn't know this and it doesn't care because it just found a sock on the floor and the sock is incredibly interesting.
